日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2020年5月10日,中雨/中雨,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月11日,中雨/中雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年5月12日,阴/阴,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年5月13日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年5月14日,阵雨/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月15日,多云/多云,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年5月16日,晴/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年5月17日,雷阵雨/大雨,32℃,24℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月18日,雷阵雨/大雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年5月19日,雷阵雨/雷阵雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年5月20日,雷阵雨/中到大雨,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年5月21日,暴雨/大雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年5月22日,大雨/阵雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年5月23日,阴/雷阵雨,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年5月24日,多云/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年5月25日,大雨/大雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年5月26日,阵雨/阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月27日,阴/阴,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年5月28日,多云/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月29日,阵雨/阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年5月30日,中雨/雷阵雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年5月31日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月1日,雷阵雨/阴,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年6月2日,大雨/阵雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年6月3日,雷阵雨/阵雨,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月4日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月5日,雷阵雨/暴雨,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月6日,中雨/大到暴雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年6月7日,大雨/雷阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年6月8日,大到暴雨/小雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年6月9日,雷阵雨/阴,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年6月10日,多云/多云,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年6月11日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月12日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月13日,多云/中雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月14日,中到大雨/阵雨,30℃,25℃,东南风3-4级,东南风3-4级,,,30℃
2020年6月15日,阵雨/阵雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年6月16日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月17日,阵雨/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月18日,阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年6月19日,晴/晴,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月20日,晴/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月21日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月22日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月23日,多云/多云,35℃,29℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月24日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月25日,雷阵雨/雷阵雨,31℃,27℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年6月26日,多云/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年6月27日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月28日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月29日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年6月30日,晴/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月1日,雷阵雨/阵雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年7月2日,雷阵雨/阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年7月3日,雷阵雨/阵雨,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年7月4日,雷阵雨/雷阵雨,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年7月4日,雷阵雨/雷阵雨,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年7月5日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月5日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月6日,阵雨/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月7日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月8日,阵雨/多云,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年7月9日,雷阵雨/阴,34℃,27℃,南风3-4级,南风3-4级,,,34℃
2020年7月10日,多云/多云,35℃,29℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月11日,多云/多云,35℃,29℃,南风1-2级,南风1-2级,,,35℃
2020年7月12日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月13日,晴/晴,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月14日,多云/多云,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月15日,晴/晴,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月16日,多云/多云,36℃,29℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月17日,晴/晴,36℃,29℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月18日,多云/多云,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月19日,多云/多云,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月20日,多云/多云,36℃,29℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月21日,多云/多云,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月22日,晴/晴,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月23日,晴/晴,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月24日,晴/多云,38℃,28℃,无持续风向1-2级,无持续风向1-2级,,,38℃
2020年7月25日,晴/晴,37℃,29℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月26日,晴/晴,38℃,29℃,无持续风向1-2级,无持续风向1-2级,,,38℃
2020年7月27日,多云/多云,37℃,29℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月28日,多云/多云,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年7月29日,多云/多云,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2020年7月30日,雷阵雨/雷阵雨,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年7月31日,中到大雨/中雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年8月1日,中雨/中雨,31℃,26℃,东风3-4级,东风3-4级,,,31℃
2020年8月2日,中到大雨/阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年8月3日,中雨/阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年8月4日,雷阵雨/雷阵雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年8月5日,中雨/中雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年8月6日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年8月7日,多云/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年8月8日,小雨/阴,34℃,26℃,南风1-2级,南风1-2级,,,34℃
2020年8月9日,多云/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年8月10日,多云/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年8月11日,多云/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2020年8月12日,雷阵雨/雷阵雨,32℃,26℃,东南风3-4级,东南风3-4级,,,32℃
2020年8月13日,中雨/中雨,33℃,25℃,东南风3-4级,东南风3-4级,,,33℃
2020年8月14日,阵雨/雷阵雨,33℃,26℃,东南风3-4级,东南风3-4级,,,33℃
2020年8月15日,阵雨/阵雨,34℃,26℃,东南风1-2级,东南风1-2级,,,34℃
2020年8月16日,雷阵雨/雷阵雨,34℃,27℃,东南风1-2级,东南风1-2级,,,34℃
2020年8月17日,小雨/小雨,33℃,26℃,东南风3-4级,东南风3-4级,,,33℃
2020年8月18日,小雨/小雨,33℃,25℃,东北风1-2级,东北风1-2级,,,33℃
2020年8月19日,小雨/阴,28℃,26℃,东南风3-4级,东南风3-4级,,,28℃
2020年8月20日,雷阵雨/雷阵雨,32℃,27℃,东南风3-4级,东南风3-4级,,,32℃
2020年8月21日,小雨/小雨,36℃,26℃,西南风1-2级,西南风1-2级,,,36℃
2020年8月22日,多云/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2020年8月23日,雷阵雨/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2020年8月24日,多云/多云,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2020年8月25日,多云/多云,36℃,26℃,北风1-2级,北风1-2级,,,36℃
2020年8月26日,阴/多云,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2020年8月27日,多云/多云,34℃,25℃,北风1-2级,北风1-2级,,,34℃
2020年8月28日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2020年8月29日,多云/晴,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2020年8月30日,多云/多云,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2020年8月31日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2020年9月1日,雷阵雨/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2020年9月2日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2020年9月3日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2020年9月4日,雷阵雨/多云,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2020年9月5日,雷阵雨/雷阵雨,33℃,27℃,北风1-2级,北风1-2级,,,33℃
2020年9月6日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2020年9月7日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月8日,雷阵雨/中雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2020年9月9日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月10日,雷阵雨/雷阵雨,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2020年9月11日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月12日,中雨/中雨,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2020年9月13日,中雨/雷阵雨,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2020年9月14日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月15日,雷阵雨/雷阵雨,31℃,25℃,北风1-2级,北风1-2级,,,31℃
2020年9月16日,雷阵雨/多云,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2020年9月17日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月18日,中雨/中雨,29℃,24℃,北风1-2级,北风1-2级,,,29℃
2020年9月19日,中雨/雷阵雨,28℃,25℃,东南风1-2级,东南风1-2级,,,28℃
2020年9月20日,中雨/雷阵雨,30℃,25℃,北风1-2级,北风1-2级,,,30℃
2020年9月21日,雷阵雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2020年9月22日,雷阵雨/雷阵雨,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2020年9月23日,雷阵雨/雷阵雨,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2020年9月24日,雷阵雨/多云,30℃,24℃,北风1-2级,北风1-2级,,,30℃
2020年9月25日,多云/多云,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2020年9月26日,中雨/中雨,28℃,24℃,北风1-2级,北风1-2级,,,28℃
2020年9月27日,雷阵雨/雷阵雨,28℃,23℃,东北风1-2级,东北风1-2级,,,28℃
2020年9月28日,雷阵雨/雷阵雨,30℃,25℃,北风1-2级,北风1-2级,,,30℃
2020年9月29日,雷阵雨/雷阵雨,29℃,24℃,北风1-2级,北风1-2级,,,29℃
2020年9月30日,中雨/雷阵雨,30℃,23℃,北风1-2级,北风1-2级,,,30℃
2020年10月1日,雷阵雨/多云,28℃,24℃,北风1-2级,北风1-2级,,,28℃
2020年10月2日,雷阵雨/多云,31℃,23℃,北风1-2级,北风1-2级,,,31℃
2020年10月3日,多云/多云,31℃,23℃,北风1-2级,北风1-2级,,,31℃
2020年10月4日,雷阵雨/小雨,33℃,22℃,北风1-2级,北风1-2级,,,33℃
2020年10月5日,阴/阴,28℃,21℃,北风3-4级,北风3-4级,,,28℃
2020年10月6日,多云/多云,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2020年10月7日,多云/多云,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2020年10月8日,多云/多云,27℃,20℃,北风3-4级,北风3-4级,,,27℃
2020年10月9日,多云/多云,27℃,20℃,北风1-2级,北风1-2级,,,27℃
2020年10月10日,多云/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2020年10月11日,多云/多云,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2020年10月12日,多云/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2020年10月13日,小雨/小雨,26℃,22℃,北风1-2级,北风1-2级,,,26℃
2020年10月14日,小雨/小雨,24℃,22℃,北风1-2级,北风1-2级,,,24℃
2020年10月15日,阴/多云,29℃,22℃,北风1-2级,北风1-2级,,,29℃
2020年10月16日,多云/多云,30℃,20℃,北风3-4级,北风3-4级,,,30℃
2020年10月17日,多云/多云,29℃,22℃,北风1-2级,北风1-2级,,,29℃
2020年10月18日,多云/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2020年10月19日,多云/多云,26℃,20℃,北风3-4级,北风3-4级,,,26℃
2020年10月20日,多云/多云,26℃,19℃,北风1-2级,北风1-2级,,,26℃
2020年10月21日,多云/阴,27℃,19℃,北风3-4级,北风3-4级,,,27℃
2020年10月22日,多云/多云,25℃,19℃,北风3-4级,北风3-4级,,,25℃
2020年10月23日,多云/阴,26℃,17℃,北风3-4级,北风3-4级,,,26℃
2020年10月24日,阴/多云,24℃,20℃,北风1-2级,北风1-2级,,,24℃
2020年10月25日,阴/阴,27℃,20℃,北风1-2级,北风1-2级,,,27℃
2020年10月26日,多云/多云,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2020年10月27日,晴/多云,30℃,21℃,北风1-2级,北风1-2级,,,30℃
2020年10月28日,多云/多云,31℃,21℃,北风1-2级,北风1-2级,,,31℃
2020年10月29日,小雨/多云,25℃,19℃,北风3-4级,北风3-4级,,,25℃
2020年10月30日,多云/多云,27℃,20℃,北风1-2级,北风1-2级,,,27℃
2020年10月31日,多云/多云,27℃,21℃,北风1-2级,北风1-2级,,,27℃
2020年11月1日,多云/多云,29℃,20℃,北风1-2级,北风1-2级,,,29℃
2020年11月2日,阴/多云,27℃,19℃,北风3-4级,北风3-4级,,,27℃
2020年11月3日,多云/多云,26℃,19℃,北风1-2级,北风1-2级,,,26℃
2020年11月4日,多云/多云,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2020年11月5日,多云/多云,28℃,18℃,北风1-2级,北风1-2级,,,28℃
2020年11月6日,多云/多云,29℃,20℃,北风3-4级,北风3-4级,,,29℃
2020年11月7日,多云/多云,29℃,20℃,北风3-4级,北风3-4级,,,29℃
2020年11月8日,多云/多云,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2020年11月9日,多云/多云,26℃,17℃,北风1-2级,北风1-2级,,,26℃
2020年11月10日,多云/多云,25℃,18℃,东北风1-2级,东北风1-2级,,,25℃
2020年11月11日,多云/多云,25℃,15℃,北风1-2级,北风1-2级,,,25℃
2020年11月12日,晴/多云,27℃,17℃,北风3-4级,北风3-4级,,,27℃
2020年11月13日,多云/阴,27℃,18℃,北风3-4级,北风3-4级,,,27℃
2020年11月14日,阴/阴,24℃,20℃,北风1-2级,北风1-2级,,,24℃
2020年11月15日,多云/多云,25℃,19℃,北风1-2级,北风1-2级,,,25℃
2020年11月16日,多云/多云,28℃,19℃,北风1-2级,北风1-2级,,,28℃
2020年11月17日,多云/阴,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2020年11月18日,多云/阴,28℃,22℃,北风1-2级,北风1-2级,,,28℃
2020年11月19日,多云/多云,28℃,23℃,北风1-2级,北风1-2级,,,28℃
2020年11月20日,多云/多云,30℃,23℃,北风1-2级,北风1-2级,,,30℃
2020年11月21日,阴/多云,27℃,22℃,北风1-2级,北风1-2级,,,27℃
2020年11月22日,小雨/阴,28℃,18℃,北风1-2级,北风1-2级,,,28℃
2020年11月23日,多云/多云,25℃,17℃,北风1-2级,北风1-2级,,,25℃
2020年11月24日,多云/多云,26℃,17℃,北风1-2级,北风1-2级,,,26℃
2020年11月25日,多云/多云,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2020年11月26日,多云/多云,27℃,16℃,北风3-4级,北风3-4级,,,27℃
2020年11月27日,多云/多云,23℃,15℃,北风1-2级,北风1-2级,,,23℃
2020年11月28日,多云/晴,22℃,14℃,北风1-2级,北风1-2级,,,22℃
2020年11月29日,多云/多云,22℃,14℃,北风3-4级,北风3-4级,,,22℃
2020年11月30日,晴/晴,21℃,14℃,北风1-2级,北风1-2级,,,21℃
2020年12月1日,多云/多云,22℃,14℃,北风3-4级,北风3-4级,,,22℃
2020年12月2日,多云/晴,23℃,12℃,北风1-2级,北风1-2级,,,23℃
2020年12月3日,晴/晴,21℃,11℃,北风1-2级,北风1-2级,,,21℃
2020年12月3日,晴/晴,21℃,11℃,北风1-2级,北风1-2级,,,21℃
2020年12月4日,多云/多云,17℃,10℃,北风1-2级,北风1-2级,,,17℃
2020年12月5日,晴/多云,18℃,12℃,北风1-2级,北风1-2级,,,18℃
2020年12月6日,多云/多云,21℃,14℃,北风1-2级,北风1-2级,,,21℃
2020年12月7日,多云/多云,22℃,11℃,北风3-4级,北风3-4级,,,22℃
2020年12月8日,多云/多云,21℃,14℃,北风1-2级,北风1-2级,,,21℃
2020年12月9日,多云/多云,22℃,14℃,北风1-2级,北风1-2级,,,22℃
2020年12月10日,多云/阴,20℃,15℃,北风1-2级,北风1-2级,,,20℃
2020年12月11日,多云/多云,23℃,18℃,北风1-2级,北风1-2级,,,23℃
2020年12月12日,多云/多云,23℃,17℃,北风1-2级,北风1-2级,,,23℃
2020年12月13日,小雨/小雨,20℃,14℃,北风1-2级,北风1-2级,,,20℃
2020年12月14日,小雨/小雨,16℃,9℃,北风1-2级,北风1-2级,,,16℃
2020年12月15日,多云/阴,13℃,8℃,北风3-4级,北风3-4级,,,13℃
2020年12月16日,多云/多云,14℃,10℃,北风1-2级,北风1-2级,,,14℃
2020年12月17日,多云/多云,14℃,8℃,北风1-2级,北风1-2级,,,14℃
2020年12月18日,多云/多云,13℃,10℃,北风3-4级,北风3-4级,,,13℃
2020年12月19日,多云/多云,14℃,8℃,北风3-4级,北风3-4级,,,14℃
2020年12月20日,多云/阴,15℃,9℃,北风3-4级,北风3-4级,,,15℃
2020年12月21日,多云/多云,17℃,10℃,北风1-2级,北风1-2级,,,17℃
2020年12月22日,多云/阴,18℃,11℃,北风1-2级,北风1-2级,,,18℃
2020年12月23日,阵雨/多云,17℃,14℃,北风1-2级,北风1-2级,,,17℃
2020年12月24日,多云/多云,23℃,10℃,北风3-4级,北风3-4级,,,23℃
2020年12月25日,多云/阴,20℃,14℃,北风1-2级,北风1-2级,,,20℃
2020年12月26日,多云/多云,20℃,16℃,北风1-2级,北风1-2级,,,20℃
2020年12月27日,多云/多云,24℃,17℃,北风1-2级,北风1-2级,,,24℃
2020年12月28日,多云/多云,26℃,14℃,北风1-2级,北风1-2级,,,26℃
2020年12月29日,多云/多云,25℃,9℃,北风3-4级,北风3-4级,,,25℃
2020年12月30日,多云/多云,14℃,5℃,北风4-5级,北风4-5级,,,14℃
2020年12月31日,多云/晴,13℃,3℃,北风1-2级,北风1-2级,,,13℃
2021年1月1日,多云/晴,14℃,7℃,北风1-2级,北风1-2级,,,14℃
2021年1月2日,晴/晴,17℃,7℃,北风1-2级,北风1-2级,,,17℃
2021年1月3日,多云/多云,19℃,10℃,北风1-2级,北风1-2级,,,19℃
2021年1月4日,多云/阴,22℃,15℃,北风1-2级,北风1-2级,,,22℃
2021年1月5日,多云/阴,21℃,12℃,北风1-2级,北风1-2级,,,21℃
2021年1月6日,多云/多云,19℃,10℃,北风3-4级,北风3-4级,,,19℃
2021年1月7日,阴/阴,15℃,4℃,北风3-4级,北风3-4级,,,15℃
2021年1月8日,多云/阴,11℃,5℃,北风3-4级,北风3-4级,,,11℃
2021年1月9日,多云/阴,10℃,6℃,北风1-2级,北风1-2级,,,10℃
2021年1月10日,阴/阴,12℃,8℃,北风1-2级,北风1-2级,,,12℃
2021年1月11日,多云/晴,12℃,5℃,北风1-2级,北风1-2级,,,12℃
2021年1月12日,晴/晴,15℃,4℃,北风1-2级,北风1-2级,,,15℃
2021年1月13日,多云/多云,18℃,7℃,北风1-2级,北风1-2级,,,18℃
2021年1月14日,晴/晴,22℃,10℃,北风1-2级,北风1-2级,,,22℃
2021年1月15日,多云/多云,22℃,11℃,北风1-2级,北风1-2级,,,22℃
2021年1月16日,多云/多云,23℃,12℃,北风1-2级,北风1-2级,,,23℃
2021年1月17日,多云/多云,17℃,7℃,北风1-2级,北风1-2级,,,17℃
2021年1月18日,多云/多云,18℃,7℃,北风1-2级,北风1-2级,,,18℃
2021年1月19日,多云/阴,19℃,12℃,北风1-2级,北风1-2级,,,19℃
2021年1月20日,多云/多云,21℃,14℃,北风1-2级,北风1-2级,,,21℃
2021年1月21日,阴/多云,25℃,16℃,北风1-2级,北风1-2级,,,25℃
2021年1月22日,小雨/多云,22℃,13℃,北风1-2级,北风1-2级,,,22℃
2021年1月23日,雾/雾,25℃,13℃,北风1-2级,北风1-2级,,,25℃
2021年1月24日,多云/多云,26℃,15℃,北风1-2级,北风1-2级,,,26℃
2021年1月25日,多云/多云,23℃,14℃,北风1-2级,北风1-2级,,,23℃
2021年1月26日,多云/多云,24℃,15℃,北风1-2级,北风1-2级,,,24℃
2021年1月27日,多云/阴,24℃,14℃,北风1-2级,北风1-2级,,,24℃
2021年1月28日,晴/晴,20℃,10℃,北风3-4级,北风3-4级,,,20℃
2021年1月29日,多云/多云,19℃,9℃,北风1-2级,北风1-2级,,,19℃
2021年1月30日,多云/多云,22℃,12℃,北风1-2级,北风1-2级,,,22℃
2021年1月31日,多云/多云,24℃,13℃,北风1-2级,北风1-2级,,,24℃
2021年2月1日,多云/多云,25℃,14℃,北风1-2级,北风1-2级,,,25℃
2021年2月2日,多云/多云,27℃,15℃,北风1-2级,北风1-2级,,,27℃
2021年2月3日,多云/多云,25℃,13℃,北风1-2级,北风1-2级,,,25℃
2021年2月4日,晴/晴,27℃,13℃,北风1-2级,北风1-2级,,,27℃
2021年2月5日,晴/多云,27℃,13℃,北风1-2级,北风1-2级,,,27℃
2021年2月6日,多云/多云,27℃,15℃,北风1-2级,北风1-2级,,,27℃
2021年2月7日,多云/多云,27℃,16℃,北风1-2级,北风1-2级,,,27℃
2021年2月8日,多云/阴,26℃,15℃,北风1-2级,北风1-2级,,,26℃
2021年2月9日,雷阵雨/大雨,20℃,14℃,东北风3-4级,东北风3-4级,,,20℃
2021年2月10日,中雨/多云,17℃,12℃,北风1-2级,北风1-2级,,,17℃
2021年2月11日,多云/晴,21℃,11℃,北风1-2级,北风1-2级,,,21℃
2021年2月12日,晴/晴,22℃,14℃,北风1-2级,北风1-2级,,,22℃
2021年2月13日,多云/多云,23℃,13℃,北风1-2级,北风1-2级,,,23℃
2021年2月14日,多云/多云,25℃,14℃,北风1-2级,北风1-2级,,,25℃
2021年2月15日,多云/多云,25℃,15℃,北风1-2级,北风1-2级,,,25℃
2021年2月16日,多云/多云,25℃,15℃,北风1-2级,北风1-2级,,,25℃
2021年2月17日,多云/晴,22℃,13℃,北风3-4级,北风3-4级,,,22℃
2021年2月18日,晴/晴,22℃,11℃,北风1-2级,北风1-2级,,,22℃
2021年2月19日,晴/多云,24℃,13℃,北风1-2级,北风1-2级,,,24℃
2021年2月20日,晴/晴,25℃,14℃,北风1-2级,北风1-2级,,,25℃
2021年2月21日,多云/多云,28℃,15℃,北风1-2级,北风1-2级,,,28℃
2021年2月22日,多云/多云,28℃,16℃,北风1-2级,北风1-2级,,,28℃
2021年2月23日,多云/多云,29℃,17℃,北风1-2级,北风1-2级,,,29℃
2021年2月24日,多云/多云,28℃,19℃,北风1-2级,北风1-2级,,,28℃
2021年2月25日,小雨/小雨,26℃,18℃,北风1-2级,北风1-2级,,,26℃
2021年2月26日,中雨/小雨,21℃,13℃,北风1-2级,北风1-2级,,,21℃
2021年2月27日,阴/阴,21℃,16℃,北风1-2级,北风1-2级,,,21℃
2021年2月28日,多云/小雨,21℃,16℃,北风1-2级,北风1-2级,,,21℃
2021年3月1日,小雨/小雨,24℃,13℃,北风3-4级,北风3-4级,,,24℃
2021年3月2日,多云/阴,20℃,15℃,北风3-4级,北风3-4级,,,20℃
2021年3月3日,阴/阴,23℃,17℃,北风1-2级,北风1-2级,,,23℃
2021年3月4日,中雨/小雨,22℃,18℃,北风1-2级,北风1-2级,,,22℃
2021年3月5日,中雨/雷阵雨,21℃,18℃,北风1-2级,北风1-2级,,,21℃
2021年3月6日,雷阵雨/雷阵雨,25℃,15℃,北风3-4级,北风3-4级,,,25℃
2021年3月7日,多云/多云,20℃,15℃,北风1-2级,北风1-2级,,,20℃
2021年3月8日,阵雨/阵雨,21℃,13℃,北风1-2级,北风1-2级,,,21℃
2021年3月9日,阴/阴,23℃,17℃,北风1-2级,北风1-2级,,,23℃
